Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,xAG,xG+xAG,npxG,npxG+xAG
47,Leganés,es La Liga,22,"27,6",42.0,5,55,450,5.0,3,3,6,3,0,1,11,0,3.0,2.3,1.9,"4,1",44,130,"0,60","0,60","1,20","0,60","1,20","0,61","0,37","0,98","0,45","0,82"
48,Leicester City,eng Premier League,20,"26,8",41.8,4,44,360,4.0,5,5,10,5,0,0,10,0,3.3,3.3,2.8,"6,2",42,92,"1,25","1,25","2,50","1,25","2,50","0,83","0,71","1,54","0,83","1,54"
49,Lens,fr Ligue 1,21,"27,6",50.5,4,44,360,4.0,3,2,5,2,1,1,6,1,7.4,6.6,5.3,"11,9",55,165,"0,75","0,50","1,25","0,50","1,00","1,84","1,33","3,17","1,66","2,98"
50,Leverkusen,de Bundesliga,19,"26,9",59.7,3,33,270,3.0,9,4,13,8,1,2,5,0,8.4,6.7,5.0,"11,6",83,159,"3,00","1,33","4,33","2,67","4,00","2,80","1,66","4,46","2,22","3,88"
51,Lille,fr Ligue 1,21,"25,9",61.0,4,44,360,4.0,5,3,8,5,0,0,7,0,5.5,5.5,4.3,"9,8",104,229,"1,25","0,75","2,00","1,25","2,00","1,39","1,07","2,46","1,39","2,46"
52,Liverpool,eng Premier League,19,"27,6",59.8,4,44,360,4.0,7,6,13,7,0,0,8,0,7.8,7.8,6.7,"14,5",97,191,"1,75","1,50","3,25","1,75","3,25","1,96","1,67","3,63","1,96","3,63"
53,Lyon,fr Ligue 1,21,"27,8",46.8,4,44,360,4.0,4,2,6,4,0,1,6,0,5.5,4.7,3.4,"8,1",79,169,"1,00","0,50","1,50","1,00","1,50","1,39","0,86","2,25","1,17","2,03"
54,Mainz 05,de Bundesliga,20,"28,1",49.3,3,33,270,3.0,5,2,7,4,1,1,5,0,4.5,3.7,2.7,"6,4",34,113,"1,67","0,67","2,33","1,33","2,00","1,51","0,89","2,40","1,24","2,14"
55,Mallorca,es La Liga,21,"28,9",45.3,6,66,540,6.0,3,2,5,2,1,1,9,1,5.0,4.2,2.5,"6,8",88,206,"0,50","0,33","0,83","0,33","0,67","0,83","0,42","1,26","0,71","1,13"
56,Manchester City,eng Premier League,20,"27,4",62.0,4,44,360,4.0,11,7,18,10,1,1,8,0,9.2,8.4,7.5,"16,0",132,224,"2,75","1,75","4,50","2,50","4,25","2,30","1,89","4,19","2,10","3,99"
57,Manchester Utd,eng Premier League,20,"26,3",54.0,4,44,360,4.0,5,5,10,5,0,0,12,0,7.9,7.9,7.3,"15,2",69,164,"1,25","1,25","2,50","1,25","2,50","1,96","1,84","3,80","1,96","3,80"
58,Marseille,fr Ligue 1,23,"26,4",62.0,4,44,360,4.0,11,6,17,9,2,2,9,1,6.9,5.3,2.9,"8,2",60,145,"2,75","1,50","4,25","2,25","3,75","1,73","0,72","2,45","1,34","2,06"
59,Milan,it Serie A,23,"26,1",59.0,4,44,360,4.0,9,6,15,7,2,2,8,0,7.5,6.0,4.9,"10,9",110,196,"2,25","1,50","3,75","1,75","3,25","1,89","1,24","3,12","1,50","2,73"
60,Monaco,fr Ligue 1,20,"24,7",60.5,4,44,360,4.0,7,6,13,7,0,0,5,1,8.6,8.6,6.8,"15,4",99,176,"1,75","1,50","3,25","1,75","3,25","2,15","1,70","3,85","2,15","3,85"
61,Montpellier,fr Ligue 1,22,"26,7",48.0,4,44,360,4.0,2,0,2,1,1,1,13,0,3.2,2.5,1.5,"4,0",57,137,"0,50","0,00","0,50","0,25","0,25","0,80","0,37","1,17","0,62","0,99"
62,Monza,it Serie A,20,"27,5",50.5,4,44,360,4.0,3,3,6,3,0,0,9,0,1.3,1.3,1.2,"2,5",45,94,"0,75","0,75","1,50","0,75","1,50","0,33","0,29","0,62","0,33","0,62"
63,Nantes,fr Ligue 1,21,"26,4",39.5,4,44,360,4.0,6,4,10,5,1,1,10,0,4.9,4.1,3.3,"7,4",67,120,"1,50","1,00","2,50","1,25","2,25","1,22","0,83","2,05","1,03","1,86"
