Pos.,Squadra,Competizione,N. di giocatori,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP
78,Saint-Étienne,fr Ligue 1,25,4.0,1207,1556,"77,6",22321,8602,514,593,"86,7",535,638,"83,9",136,262,"51,9",1,1.6,1.6,-0.6,28,90,17,4,121
79,Sevilla,es La Liga,23,5.0,2099,2576,"81,5",33619,11236,1068,1176,"90,8",828,947,"87,4",131,305,"43,0",3,4.1,3.4,-1.1,57,139,34,8,181
80,Southampton,eng Premier League,24,4.0,2234,2562,"87,2",34852,10129,1149,1241,"92,6",925,1027,"90,1",104,188,"55,3",1,3.2,3.7,-2.2,37,161,35,6,176
81,St. Pauli,de Bundesliga,17,3.0,1338,1723,"77,7",24617,9114,525,624,"84,1",656,760,"86,3",140,274,"51,1",1,2.0,2.2,-1.0,23,93,15,4,118
82,Strasbourg,fr Ligue 1,21,4.0,1715,2066,"83,0",29459,10650,737,843,"87,4",814,920,"88,5",124,224,"55,4",5,5.1,3.6,-0.1,35,92,20,8,101
83,Stuttgart,de Bundesliga,21,3.0,1531,1819,"84,2",26432,9479,730,794,"91,9",665,755,"88,1",117,210,"55,7",3,3.4,3.8,-0.4,34,103,25,9,131
84,Torino,it Serie A,21,4.0,1519,1859,"81,7",27297,9746,646,733,"88,1",690,772,"89,4",144,269,"53,5",3,3.5,3.3,-0.5,28,96,30,6,114
85,Tottenham,eng Premier League,20,4.0,2125,2492,"85,3",33543,10114,1096,1195,"91,7",849,945,"89,8",115,210,"54,8",4,3.7,5.2,+0.3,48,183,56,13,225
86,Toulouse,fr Ligue 1,19,4.0,1385,1773,"78,1",24601,9271,608,704,"86,4",625,734,"85,1",126,253,"49,8",4,4.1,2.7,-0.1,34,103,19,3,142
87,Udinese,it Serie A,19,4.0,1116,1442,"77,4",20868,7856,439,497,"88,3",477,565,"84,4",153,273,"56,0",5,3.6,3.0,+1.4,28,83,26,16,94
88,Union Berlin,de Bundesliga,19,3.0,829,1171,"70,8",15651,6963,359,437,"82,2",338,429,"78,8",108,227,"47,6",1,1.4,2.0,-0.4,24,66,22,4,66
89,Valencia,es La Liga,22,5.0,1926,2434,"79,1",35649,11550,828,940,"88,1",884,1017,"86,9",195,366,"53,3",2,2.6,3.5,-0.6,33,176,22,8,186
90,Valladolid,es La Liga,22,5.0,1706,2103,"81,1",31350,11461,733,812,"90,3",753,861,"87,5",190,339,"56,0",2,2.7,3.1,-0.7,32,94,24,11,156
91,Venezia,it Serie A,26,4.0,1192,1496,"79,7",20374,7738,526,599,"87,8",547,633,"86,4",87,185,"47,0",1,1.8,2.2,-0.8,27,54,21,7,82
92,Villarreal,es La Liga,20,5.0,1816,2212,"82,1",35118,12297,647,736,"87,9",922,1033,"89,3",216,353,"61,2",7,5.7,6.1,+1.3,53,158,45,14,193
93,Werder Bremen,de Bundesliga,18,3.0,1099,1397,"78,7",21170,7852,409,477,"85,7",502,590,"85,1",153,243,"63,0",3,2.2,2.5,+0.8,19,66,38,11,110
94,West Ham,eng Premier League,21,4.0,1290,1647,"78,3",22825,8290,590,675,"87,4",513,606,"84,7",145,261,"55,6",2,2.8,2.9,-0.8,33,95,25,8,112
95,Wolfsburg,de Bundesliga,19,3.0,893,1224,"73,0",15502,6157,433,496,"87,3",332,424,"78,3",88,217,"40,6",3,2.8,2.5,+0.2,29,87,16,5,97
96,Wolves,eng Premier League,22,4.0,1277,1629,"78,4",23031,8187,575,660,"87,1",560,649,"86,3",122,237,"51,5",4,3.4,2.9,+0.6,28,111,27,7,103
